"subj","alpha_mean","alpha_sd","beta_mean","beta_sd","gamma_mean","gamma_sd","log_delta_mean","log_delta_sd","delta_mean","delta_sd","waic"
1,1.19970583033205,0.923167928691458,0.334149401202351,1.50257953005625,1.98371132946945,2.22075918074675,0.604323126941965,0.676982932657404,2.21262460490217,1.16478238289581,NA
2,0.923011875314186,0.391644787983362,0.332856231923822,1.317818754699,0.821558935110749,0.995911334713145,-0.148220593024849,0.623461097104995,1.03993927601363,0.604073589344984,NA
3,0.581426721533287,0.664135562971307,0.566649092636285,1.09818091781433,2.10350379901889,2.74566072792331,0.1558742481319,1.06714532759006,1.98798272748012,1.88916530898562,NA
4,2.02297538926063,1.87524611436398,0.639350945785833,0.826269069943753,1.19756442140881,1.21643284522661,0.289538817209284,0.884484499298409,1.90140373841021,1.41451658524523,NA
5,1.95116926171083,2.08171954808569,-0.316716908970653,1.079816646552,0.674430553533267,0.294770070421083,-0.616797421437856,1.44353619337708,1.43550510132347,1.82295622937864,NA
6,1.85658635068615,2.37106611033213,0.0187331257383081,1.3867088868169,1.4777993101831,1.09341979358282,0.451724583172767,0.897992543134218,2.08103448497129,1.09471004540286,NA
7,1.1059194694971,1.13013000294096,1.26267628682991,0.753594641385035,0.293839495844609,0.117955825568233,-0.372201353424916,1.23880217026146,1.5500586240684,1.95744186295478,NA
8,0.516701811304202,0.32025775331312,1.19563584480949,0.589275331195792,0.492849888095069,0.216941748261818,0.247834245535626,0.748899753410313,1.61768723526263,0.918859295712843,NA
9,0.431406976923871,0.183608319018618,0.279667360401088,1.42890629437269,2.03914318496375,0.742196452888933,0.807199340051623,0.739634853271668,2.82272887324408,1.6806738204228,NA
10,0.750875786825697,0.343309384046808,-1.7543858649659,0.0952612514588128,1.35194041630381,1.11092238665979,-0.423646878146507,1.06287874309957,1.02641936121311,0.784599467089099,NA
11,1.21044859333621,1.02219189483721,0.935926840761639,1.21418928718385,2.37072487694544,2.23591510137637,0.250780083448352,1.39681938922724,2.75492156434573,2.43675859704388,NA
12,1.78244626111527,1.9954361968352,0.482127391108486,1.51882907213313,1.96712894252942,2.50072150281379,0.348867457055515,1.0520724176303,2.16111203555861,1.64853619554417,NA
13,2.21683808820621,2.44274951144503,0.336052073651483,0.676370265310563,2.55027727498011,2.60036736531886,-0.211592248614086,0.599305683116722,0.949375784379325,0.47388064474324,NA
14,0.451130579538019,0.0757271818887877,0.76615390863484,0.547022404590847,2.95693594210674,2.12380015426919,-0.141459149822102,1.00243521195467,1.43335064442363,1.40587334842294,NA
15,0.554302228828453,0.26385532784817,-0.0322273425937981,1.03393997730628,1.58708538595434,0.940634088998113,-0.00912841299226874,1.60277547220919,2.60487559715406,2.60032873984448,NA
16,0.632147307137061,0.388359151951241,0.220899700047128,0.966748039624034,0.919324851269257,0.669604221138111,0.116971028697457,1.30342657154673,2.19754108317304,1.90633375788683,NA
17,0.988777368045814,1.45153506334559,-1.09912645956634,0.616067932626857,1.00579372788027,0.69263000773301,-0.577414282669922,1.21102048377928,1.25616962113974,1.62615385750385,NA
18,0.950548318651788,0.618476503744558,-0.577254514893649,0.393806243657295,2.27587017757902,2.93663345249783,-0.481766129592633,0.619028977809833,0.722088034237733,0.332831768868173,NA
19,0.555775494388635,0.442883931590589,-0.192540217884301,0.846606695638727,2.01729033609663,1.50975311945556,0.591392054715821,1.45028306572853,3.27037584103461,2.14910440993761,NA
20,2.104194531522,1.96418372930803,-0.182227549636,0.810903675466887,1.25491727801923,1.84431955824239,0.380711546231979,1.08490747272802,2.14513733137722,1.23283205909413,NA
21,1.71027904067932,1.65015233395803,-0.638775806963955,1.40687654286293,1.23296278034739,1.0931852139947,0.684532191744391,1.15347253700558,3.04069949882981,1.87087449307543,NA
22,0.539009951057358,0.370098494028058,0.363870012308069,1.1126845127566,1.62325550505042,2.33451790327802,-0.175686059513426,1.19188380889349,1.45788855320899,1.22673521732482,NA
23,0.611936115040151,0.373339363341961,0.513331178245773,1.09191305839717,0.784337397137544,0.630279354483983,-0.803154393669202,0.540668836833667,0.509015087503515,0.227225256799091,NA
24,0.667789485787294,0.699718349954453,0.919952223317548,0.620373690637841,0.848681971410115,0.448424007435337,0.283823434293624,0.397764593649538,1.43488199532946,0.54445244996852,NA
25,1.4333813662336,0.701958258680708,0.448308654392399,1.12628860435597,2.56073094995576,2.17928125718902,-0.408865459104309,1.00185307762953,0.9815325154877,0.690413329353969,NA
26,2.2484048292976,1.50293681972101,-0.9494244194247,0.26418608975452,2.30492985363037,1.58457861750296,0.907939004051585,0.111140064862944,2.49416175210574,0.266435516010203,NA
27,0.365702090144874,0.124805166012272,-1.01719141709689,1.34436387837347,1.21609399444395,1.06901536042216,0.807581161753442,0.90735474066801,3.29201003326341,2.62303393369492,NA
