"subj","alpha_mean","beta_mean","gamma_mean","tau_mean","logit_alpha_mean","log_beta_mean","log_gamma_mean"
205,0.379870535116191,608642985.340965,1168714685301.69,-0.185181504601356,-2.17855121619851,-2.56803147446614,-0.0461542999003562
206,0.359240747704875,16607704.5640445,250735827431.126,-0.730593069578464,-3.06290138269499,-5.08097808300707,-0.535676820589354
207,0.388367328933308,7290999604.13241,5789008116604.32,-0.566860148018687,-2.45292547006188,-4.98021664845831,-0.705601688988906
208,0.383672065922386,16314134.2879186,3454346593622.77,-0.548536047483884,-2.47464205073109,-4.56824148437049,-0.522161071123477
209,0.32026191307038,225893537.082588,431812914881.993,0.700774090160552,-2.30718296318204,2.28494462363559,0.256822057132829
210,0.39800849724925,26474058.9087136,1179284592492.83,0.352989249019094,-1.36043731661276,0.246496350848547,0.247177045002484
211,0.369663118328472,25536799.6713278,27317974717.3232,-0.80132870911373,-2.84083291813951,-5.26086751175821,-0.713379128043233
212,0.759838944521126,2713291.75590643,253603745159312,0.546258000029883,5.37901538102986,0.350136135743422,0.480568432547582
213,0.363534373112231,989169.454284394,7542499725369.63,-1.07825381247865,-3.03361201268925,-5.64856424244063,-0.868771494242501
214,0.3674043079819,351472829.439588,529371536263.969,-1.07296161413678,-2.96911257865583,-5.41397553947,-1.0097914042285
215,0.361641001144598,546060076.190744,10011353883863.1,-1.115308683733,-3.1044725148244,-5.50291886462732,-1.25380541817577
216,0.364773184152988,112341834.906052,306389386329.405,-1.04234072280588,-3.11284140845865,-5.83525352268766,-0.656073516455574
217,0.40664408437918,11623853.6098337,957475460024.88,-0.929530730133358,-2.05668451555945,-4.8816773574042,-0.622820737648402
218,0.367728219382328,508002149.803826,62859824442.7737,0.388340894649834,-1.80629126206444,0.976832660169755,0.288440528529978
219,0.378947657514414,6261804.02641154,1415067555770.7,-0.687524996708887,-2.45540578679231,-4.32161596252752,-0.384285099793634
220,0.359111334347874,744479.00813729,2094525663275.63,-0.703691351434818,-3.15260410549289,-5.77236364126026,-0.655636510238103
221,0.38581708116749,224904020.950216,5634222937757.55,-0.546769370609731,-2.09987880212072,-3.19378357991598,-0.411088237715182
222,0.396837578646541,48919071.3370598,7902813724930.19,-0.639994028525358,-2.34065332098853,-5.00799350230309,-0.648187738349641
223,0.366519281594985,9539353.18187155,5841926168726.31,-1.02096335814096,-3.0576123153926,-5.60711614981129,-0.826322362946921
224,0.429111986853948,11365466.4381659,5187554646620217,-0.374939756854755,-1.59732406333906,-4.78201427942047,-0.335184961480986
225,0.341774482738936,3986412860.29661,51183237890997.9,0.43914214245805,-2.04963892582826,2.07454776458032,0.18600994358736
